IdSucursal;NroRemito;FechaRemito;CodCliente;UnidadNegocio;CodVendedor;NroFactura;TipoFactura;Item;AclaracionRemito
5;18750;2018-03-27 00:00:00;881;;700;2268;A;1;
5;18753;2018-03-21 00:00:00;48;;200;59;B;1;
5;18757;2018-03-27 00:00:00;2010;;100;0;;0;
5;18764;2018-04-10 00:00:00;542;;100;2318;A;1;
5;18765;2018-04-18 00:00:00;542;;100;2346;A;1;
5;18766;2018-04-18 00:00:00;433;;100;2345;A;1;
5;18768;2018-04-24 00:00:00;433;;100;2371;A;1;
5;18769;2018-04-24 00:00:00;542;;100;2372;A;1;
5;18770;2018-05-02 00:00:00;433;;100;2400;A;1;
5;18771;2018-05-07 00:00:00;632;;100;2413;A;1;
5;18772;2018-05-07 00:00:00;1240;;100;2414;A;1;
5;18773;2018-05-08 00:00:00;433;;100;2417;A;1;
5;18774;2018-05-08 00:00:00;542;;100;2418;A;1;
5;18777;2018-05-15 00:00:00;433;;100;2443;A;1;
5;18778;2018-05-21 00:00:00;632;;100;2467;A;1;
5;18780;2018-05-30 00:00:00;435;;100;2488;A;1;
5;18782;2018-06-04 00:00:00;542;;100;2496;A;1;
5;18784;2018-06-12 00:00:00;78;;100;2527;A;1;
5;18785;2018-06-12 00:00:00;433;;100;2526;A;1;
5;18787;2018-06-18 00:00:00;433;;100;2543;A;1;
5;18788;2018-06-19 00:00:00;542;;100;2548;A;1;
5;18789;2018-06-19 00:00:00;433;;100;2549;A;1;
5;18790;2018-06-26 00:00:00;542;;100;2564;A;1;
5;18792;2018-07-04 00:00:00;661;;100;2596;A;1;
5;18794;2018-07-11 00:00:00;433;;100;2610;A;1;
5;18795;2018-07-24 00:00:00;435;;100;2652;A;1;
5;18796;2018-08-06 00:00:00;433;;100;2705;A;1;
5;18801;2018-03-29 00:00:00;406;;100;2274;A;1;
5;18802;2018-03-29 00:00:00;948;;200;2276;A;1;
5;18803;2018-04-03 00:00:00;2078;;300;2278;A;1;
5;18804;2018-04-03 00:00:00;345;;200;2279;A;1;
5;18805;2018-04-04 00:00:00;684;;300;2285;A;1;
5;18806;2018-04-05 00:00:00;472;;100;2287;A;1;
5;18807;2018-04-05 00:00:00;378;;100;2289;A;1;
5;18808;2018-04-05 00:00:00;2160;;500;2290;A;1;
5;18809;2018-04-09 00:00:00;2020;;700;2306;A;1;
5;18810;2018-04-09 00:00:00;2193;;600;2307;A;1;
5;18811;2018-04-10 00:00:00;1210;;400;2309;A;1;
5;18812;2018-04-10 00:00:00;2149;;400;2310;A;1;
5;18815;2018-04-11 00:00:00;1051;;700;0;;0;
5;18816;2018-04-12 00:00:00;472;;100;2324;A;1;
5;18817;2018-04-12 00:00:00;1051;;700;2325;A;1;
5;18818;2018-04-13 00:00:00;24;;500;2327;A;1;
5;18819;2018-04-16 00:00:00;696;;500;2331;A;1;
5;18820;2018-04-16 00:00:00;2010;;100;0;;0;
5;18821;2018-04-17 00:00:00;2073;;400;2338;A;1;
5;18822;2018-04-17 00:00:00;921;;300;2339;A;1;
5;18823;2018-04-17 00:00:00;921;;300;2340;A;1;
5;18824;2018-04-17 00:00:00;2232;;400;2341;A;1;
5;18825;2018-04-18 00:00:00;406;;100;2342;A;1;
5;18826;2018-04-18 00:00:00;2226;;500;65;B;1;
5;18827;2018-04-18 00:00:00;2234;;500;2355;A;1;
5;18828;2018-04-19 00:00:00;930;;300;2357;A;1;
5;18829;2018-04-20 00:00:00;345;;200;2365;A;1;
5;18831;2018-04-23 00:00:00;2235;;300;2366;A;1;
5;18832;2018-04-23 00:00:00;2191;;400;2367;A;1;
5;18833;2018-04-24 00:00:00;2194;;200;2369;A;1;
5;18834;2018-04-25 00:00:00;472;;100;2373;A;1;
5;18835;2018-04-25 00:00:00;305;;200;2374;A;1;
5;18836;2018-04-25 00:00:00;2226;;500;66;B;1;
5;18837;2018-04-26 00:00:00;632;;100;2381;A;1;
5;18838;2018-04-26 00:00:00;406;;100;2382;A;1;
5;18839;2018-04-26 00:00:00;2184;;400;2384;A;1;
5;18840;2018-04-26 00:00:00;2125;;600;2386;A;1;
5;18841;2018-04-27 00:00:00;406;;100;2388;A;1;
5;18842;2018-04-27 00:00:00;345;;200;2392;A;1;
5;18843;2018-04-30 00:00:00;2010;;100;2397;A;1;
5;18844;2018-05-02 00:00:00;696;;500;2401;A;1;
5;18845;2018-05-04 00:00:00;696;;500;2410;A;1;
5;18846;2018-05-04 00:00:00;2226;;500;68;B;1;
5;18847;2018-05-04 00:00:00;2160;;500;2411;A;1;
5;18848;2018-05-08 00:00:00;442;;500;2415;A;1;
5;18849;2018-05-08 00:00:00;696;;500;2416;A;1;
5;18850;2018-05-08 00:00:00;472;;100;2420;A;1;
5;18851;2018-04-06 00:00:00;1231;;300;2292;A;1;
5;18852;2018-04-06 00:00:00;1209;;300;2293;A;1;
5;18853;2018-04-06 00:00:00;523;;300;2296;A;1;
5;18854;2018-04-06 00:00:00;2228;;300;2294;A;1;
5;18855;2018-04-06 00:00:00;683;;300;2295;A;1;
5;18856;2018-04-09 00:00:00;2124;;300;2302;A;1;
5;18857;2018-04-09 00:00:00;588;;300;2303;A;1;
5;18858;2018-04-10 00:00:00;680;;300;2317;A;1;
5;18859;2018-04-10 00:00:00;945;;300;2315;A;1;
5;18860;2018-04-10 00:00:00;921;;300;2316;A;1;
5;18861;2018-04-11 00:00:00;327;;300;2321;A;1;
5;18862;2018-04-11 00:00:00;1069;;300;63;B;1;
5;18863;2018-04-11 00:00:00;680;;300;2323;A;1;
5;18864;2018-04-11 00:00:00;930;;300;2322;A;1;
5;18865;2018-04-13 00:00:00;754;;300;2328;A;1;
