NroFactura;TipoFactura;ItemFactura;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
2201;A;1;75;2;1760.33;25;2640.5;C/U;880.17
2201;A;2;65;2;1471.07;25;2206.61;C/U;735.54
2201;A;3;100SP;1;2772.72;25;2079.54;C/U;693.18
2202;A;1;180;2;3120.52;0;6241.04;C/U;0.0
2203;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2204;A;1;75;2;1760.33;20;2816.53;C/U;704.13
2205;A;1;180;1;4508.26;20;3606.61;C/U;901.65
2206;A;1;180;1;3166.9;0;3166.9;C/U;0.0
2207;A;1;180;1;3500.0;0;3500.0;C/U;0.0
2207;A;2;90;1;1800.0;0;1800.0;C/U;0.0
2208;A;1;110C;2;2975.2;0;5950.4;C/U;0.0
